size,group,round,id_in_group,split,high,guess,win,payoff,turker,strategy
GoR_2,12,4,2,0,0,40.0,1,3.0,AXNJ7GCWP4G5H,
GoR_2,12,5,1,0,0,48.0,0,0.36,A7OVF55GAEQ30,
GoR_2,12,5,2,0,0,34.0,1,3.0,AXNJ7GCWP4G5H,
GoR_2,12,6,1,0,0,36.0,1,0.36,A7OVF55GAEQ30,
GoR_2,12,6,2,0,0,36.0,1,3.0,AXNJ7GCWP4G5H,
GoR_2,12,7,1,0,0,38.0,0,0.36,A7OVF55GAEQ30,
GoR_2,12,7,2,0,0,33.0,1,3.0,AXNJ7GCWP4G5H,
GoR_2,12,8,1,0,0,41.0,0,0.36,A7OVF55GAEQ30,just random strategy.thank you.
GoR_2,12,8,2,0,0,32.0,1,3.0,AXNJ7GCWP4G5H,keep my guess close to what I guessed the last time
GoR_2,15,1,1,1,0,35.0,1,2.04,AHS25EUBSVR17,
GoR_2,15,1,2,1,0,50.0,0,0.49,A3GWRDHAURRNK6,
GoR_2,15,2,1,1,0,32.0,1,2.04,AHS25EUBSVR17,
GoR_2,15,2,2,1,0,40.0,0,0.49,A3GWRDHAURRNK6,
GoR_2,15,3,1,1,0,31.0,1,2.04,AHS25EUBSVR17,
GoR_2,15,3,2,1,0,40.0,0,0.49,A3GWRDHAURRNK6,
GoR_2,15,4,1,1,0,36.0,1,2.04,AHS25EUBSVR17,
GoR_2,15,4,2,1,0,36.0,1,0.49,A3GWRDHAURRNK6,
GoR_2,15,5,1,1,0,33.0,1,2.04,AHS25EUBSVR17,
GoR_2,15,5,2,1,0,36.0,0,0.49,A3GWRDHAURRNK6,
GoR_2,15,6,1,1,0,27.0,1,2.04,AHS25EUBSVR17,
GoR_2,15,6,2,1,0,37.0,0,0.49,A3GWRDHAURRNK6,
GoR_2,15,7,1,1,0,28.0,1,2.04,AHS25EUBSVR17,
GoR_2,15,7,2,1,0,36.0,0,0.49,A3GWRDHAURRNK6,
GoR_2,15,8,1,1,0,33.0,0,2.04,AHS25EUBSVR17,I just went with my gut and I kept it in the 30's as to see what would happen.
GoR_2,15,8,2,1,0,31.0,1,0.49,A3GWRDHAURRNK6,Tried to stay somewhat consistent and not vary too much.
GoR_2,16,1,1,0,1,50.0,1,1.05,A3S5DWMCT53P8,
GoR_2,16,1,2,0,1,90.0,0,1.22,ADY38QDFZHB5Q,
GoR_2,16,2,1,0,1,45.0,0,1.05,A3S5DWMCT53P8,
GoR_2,16,2,2,0,1,25.0,1,1.22,ADY38QDFZHB5Q,
GoR_2,16,3,1,0,1,75.0,0,1.05,A3S5DWMCT53P8,
GoR_2,16,3,2,0,1,26.0,1,1.22,ADY38QDFZHB5Q,
GoR_2,16,4,1,0,1,30.0,1,1.05,A3S5DWMCT53P8,
GoR_2,16,4,2,0,1,34.0,0,1.22,ADY38QDFZHB5Q,
GoR_2,16,5,1,0,1,50.0,0,1.05,A3S5DWMCT53P8,
GoR_2,16,5,2,0,1,32.0,1,1.22,ADY38QDFZHB5Q,
GoR_2,16,6,1,0,1,30.0,0,1.05,A3S5DWMCT53P8,
GoR_2,16,6,2,0,1,20.0,1,1.22,ADY38QDFZHB5Q,
GoR_2,16,7,1,0,1,25.0,1,1.05,A3S5DWMCT53P8,
GoR_2,16,7,2,0,1,44.0,0,1.22,ADY38QDFZHB5Q,
GoR_2,16,8,1,0,1,25.0,0,1.05,A3S5DWMCT53P8,Just simple guess
GoR_2,16,8,2,0,1,19.0,1,1.22,ADY38QDFZHB5Q,"I looked at the other player's previous guess to determine what they might think I would guess in the next round, and adjusted accordingly. "
GoR_2,17,1,1,1,1,45.0,0,0.25,A1PE5GCMNEFIT4,
GoR_2,17,1,2,1,1,29.0,1,1.75,A17CM9QPETQYGH,
GoR_2,17,2,1,1,1,67.0,0,0.25,A1PE5GCMNEFIT4,
GoR_2,17,2,2,1,1,52.0,1,1.75,A17CM9QPETQYGH,
GoR_2,17,3,1,1,1,78.0,0,0.25,A1PE5GCMNEFIT4,
GoR_2,17,3,2,1,1,10.0,1,1.75,A17CM9QPETQYGH,
GoR_2,17,4,1,1,1,11.0,1,0.25,A1PE5GCMNEFIT4,
GoR_2,17,4,2,1,1,49.0,0,1.75,A17CM9QPETQYGH,
GoR_2,17,5,1,1,1,50.0,0,0.25,A1PE5GCMNEFIT4,
GoR_2,17,5,2,1,1,15.0,1,1.75,A17CM9QPETQYGH,
GoR_2,17,6,1,1,1,50.0,0,0.25,A1PE5GCMNEFIT4,
GoR_2,17,6,2,1,1,10.0,1,1.75,A17CM9QPETQYGH,
GoR_2,17,7,1,1,1,50.0,0,0.25,A1PE5GCMNEFIT4,
GoR_2,17,7,2,1,1,15.0,1,1.75,A17CM9QPETQYGH,
GoR_2,17,8,1,1,1,35.0,0,0.25,A1PE5GCMNEFIT4,Random guessing. 
GoR_2,17,8,2,1,1,10.0,1,1.75,A17CM9QPETQYGH,Tried to use a low number as they were continuously using large numbers.
GoR_2,19,1,1,0,0,50.0,0,2.33,ANFW1BSRB619C,
GoR_2,19,1,2,0,0,21.0,1,1.16,A25XKNZ3K587KN,
GoR_2,19,2,1,0,0,33.0,1,2.33,ANFW1BSRB619C,
GoR_2,19,2,2,0,0,57.0,0,1.16,A25XKNZ3K587KN,
GoR_2,19,3,1,0,0,60.0,1,2.33,ANFW1BSRB619C,
GoR_2,19,3,2,0,0,77.0,0,1.16,A25XKNZ3K587KN,
GoR_2,19,4,1,0,0,40.0,1,2.33,ANFW1BSRB619C,
GoR_2,19,4,2,0,0,48.0,0,1.16,A25XKNZ3K587KN,
GoR_2,19,5,1,0,0,40.0,1,2.33,ANFW1BSRB619C,
GoR_2,19,5,2,0,0,80.0,0,1.16,A25XKNZ3K587KN,
GoR_2,19,6,1,0,0,66.0,0,2.33,ANFW1BSRB619C,
GoR_2,19,6,2,0,0,33.0,1,1.16,A25XKNZ3K587KN,
GoR_2,19,7,1,0,0,60.0,1,2.33,ANFW1BSRB619C,
GoR_2,19,7,2,0,0,99.0,0,1.16,A25XKNZ3K587KN,
GoR_2,19,8,1,0,0,99.0,0,2.33,ANFW1BSRB619C,I tried to alternate between around 1/3 to 2/3 of the maximum value hoping the other participant might try to match me the next round. I did the close to the same number a few times just to see how they would react. When I saw at the second to last round they put in 99 I thought they might be trying something so I put in 99 for the next round hoping we had both magically agreed on getting 99 cents.
GoR_2,19,8,2,0,0,62.0,1,1.16,A25XKNZ3K587KN,No strategy just some favorite numbers and a couple just pulled from my head
GoR_2,21,1,1,0,0,55.0,1,1.81,ASVZT69I1ZW6X,
GoR_2,21,1,2,0,0,67.0,0,0.48,A1BIN5R8FF4FQR,
GoR_2,21,2,1,0,0,13.0,1,1.81,ASVZT69I1ZW6X,
GoR_2,21,2,2,0,0,50.0,0,0.48,A1BIN5R8FF4FQR,
GoR_2,21,3,1,0,0,81.0,0,1.81,ASVZT69I1ZW6X,
GoR_2,21,3,2,0,0,36.0,1,0.48,A1BIN5R8FF4FQR,
GoR_2,21,4,1,0,0,23.0,1,1.81,ASVZT69I1ZW6X,
GoR_2,21,4,2,0,0,99.0,0,0.48,A1BIN5R8FF4FQR,
GoR_2,21,5,1,0,0,55.0,0,1.81,ASVZT69I1ZW6X,
GoR_2,21,5,2,0,0,12.0,1,0.48,A1BIN5R8FF4FQR,
GoR_2,21,6,1,0,0,15.0,1,1.81,ASVZT69I1ZW6X,
GoR_2,21,6,2,0,0,43.0,0,0.48,A1BIN5R8FF4FQR,
GoR_2,21,7,1,0,0,72.0,1,1.81,ASVZT69I1ZW6X,
GoR_2,21,7,2,0,0,80.0,0,0.48,A1BIN5R8FF4FQR,
GoR_2,21,8,1,0,0,3.0,1,1.81,ASVZT69I1ZW6X,I was just picking my favorite numbers and alternating between high and low numbers.
GoR_2,21,8,2,0,0,66.0,0,0.48,A1BIN5R8FF4FQR,just picked random numbers that came to mind
GoR_2,22,1,1,0,1,26.0,1,0.51,A3C2PSZEKN8OWD,
GoR_2,22,1,2,0,1,33.0,0,1.65,A3ND4KJK19EZ42,
GoR_2,22,2,1,0,1,40.0,0,0.51,A3C2PSZEKN8OWD,
GoR_2,22,2,2,0,1,20.0,1,1.65,A3ND4KJK19EZ42,
GoR_2,22,3,1,0,1,32.0,0,0.51,A3C2PSZEKN8OWD,
GoR_2,22,3,2,0,1,30.0,1,1.65,A3ND4KJK19EZ42,
GoR_2,22,4,1,0,1,25.0,1,0.51,A3C2PSZEKN8OWD,
GoR_2,22,4,2,0,1,40.0,0,1.65,A3ND4KJK19EZ42,
GoR_2,22,5,1,0,1,31.0,0,0.51,A3C2PSZEKN8OWD,
GoR_2,22,5,2,0,1,30.0,1,1.65,A3ND4KJK19EZ42,
GoR_2,22,6,1,0,1,40.0,0,0.51,A3C2PSZEKN8OWD,
GoR_2,22,6,2,0,1,30.0,1,1.65,A3ND4KJK19EZ42,
GoR_2,22,7,1,0,1,34.0,0,0.51,A3C2PSZEKN8OWD,
GoR_2,22,7,2,0,1,25.0,1,1.65,A3ND4KJK19EZ42,
GoR_2,22,8,1,0,1,64.0,0,0.51,A3C2PSZEKN8OWD,USING THE ONE THIRD 
GoR_2,22,8,2,0,1,30.0,1,1.65,A3ND4KJK19EZ42,Calculation
GoR_2,23,1,1,1,0,66.0,0,1.21,A1KOHXO0BIQB8T,
GoR_2,23,1,2,1,0,45.0,1,1.13,A24YK0MTFM2TRL,
GoR_2,23,2,1,1,0,40.0,0,1.21,A1KOHXO0BIQB8T,
GoR_2,23,2,2,1,0,22.0,1,1.13,A24YK0MTFM2TRL,
GoR_2,23,3,1,1,0,33.0,1,1.21,A1KOHXO0BIQB8T,
GoR_2,23,3,2,1,0,80.0,0,1.13,A24YK0MTFM2TRL,
GoR_2,23,4,1,1,0,28.0,1,1.21,A1KOHXO0BIQB8T,
GoR_2,23,4,2,1,0,56.0,0,1.13,A24YK0MTFM2TRL,
GoR_2,23,5,1,1,0,31.0,1,1.21,A1KOHXO0BIQB8T,
GoR_2,23,5,2,1,0,43.0,0,1.13,A24YK0MTFM2TRL,
GoR_2,23,6,1,1,0,29.0,1,1.21,A1KOHXO0BIQB8T,
GoR_2,23,6,2,1,0,67.0,0,1.13,A24YK0MTFM2TRL,
GoR_2,23,7,1,1,0,28.0,0,1.21,A1KOHXO0BIQB8T,
GoR_2,23,7,2,1,0,25.0,1,1.13,A24YK0MTFM2TRL,
GoR_2,23,8,1,1,0,31.0,0,1.21,A1KOHXO0BIQB8T,"started higher, but realized that the example would suggest others to pick ,lower numbers, so I went t=with the lower average"
GoR_2,23,8,2,1,0,21.0,1,1.13,A24YK0MTFM2TRL,I was paying attention to the average numbers and trying to guess high hoping for a better bonus. Then I noticed all of the numbers were low so I went low.
GoR_2,29,1,1,0,1,75.0,0,0.68,A2NLSHI7WIT845,
GoR_2,29,1,2,0,1,55.0,1,2.06,AXCJ9CO6Q1V90,
GoR_2,29,2,1,0,1,30.0,1,0.68,A2NLSHI7WIT845,
GoR_2,29,2,2,0,1,67.0,0,2.06,AXCJ9CO6Q1V90,
GoR_2,29,3,1,0,1,62.0,0,0.68,A2NLSHI7WIT845,
GoR_2,29,3,2,0,1,25.0,1,2.06,AXCJ9CO6Q1V90,
GoR_2,29,4,1,0,1,45.0,0,0.68,A2NLSHI7WIT845,
GoR_2,29,4,2,0,1,32.0,1,2.06,AXCJ9CO6Q1V90,
GoR_2,29,5,1,0,1,20.0,1,0.68,A2NLSHI7WIT845,
GoR_2,29,5,2,0,1,47.0,0,2.06,AXCJ9CO6Q1V90,
GoR_2,29,6,1,0,1,18.0,1,0.68,A2NLSHI7WIT845,
GoR_2,29,6,2,0,1,89.0,0,2.06,AXCJ9CO6Q1V90,
GoR_2,29,7,1,0,1,60.0,0,0.68,A2NLSHI7WIT845,
GoR_2,29,7,2,0,1,45.0,1,2.06,AXCJ9CO6Q1V90,
GoR_2,29,8,1,0,1,52.0,0,0.68,A2NLSHI7WIT845,I just guessed.
GoR_2,29,8,2,0,1,49.0,1,2.06,AXCJ9CO6Q1V90,Random!!
GoR_2,30,1,1,1,1,57.0,0,1.13,AOHQSD0GH8HTE,
GoR_2,30,1,2,1,1,55.0,1,0.88,A1C6NTK19FBQO0,
GoR_2,30,2,1,1,1,35.0,1,1.13,AOHQSD0GH8HTE,
GoR_2,30,2,2,1,1,53.0,0,0.88,A1C6NTK19FBQO0,
GoR_2,30,3,1,1,1,25.0,1,1.13,AOHQSD0GH8HTE,
GoR_2,30,3,2,1,1,25.0,1,0.88,A1C6NTK19FBQO0,
GoR_2,30,4,1,1,1,75.0,0,1.13,AOHQSD0GH8HTE,
GoR_2,30,4,2,1,1,30.0,1,0.88,A1C6NTK19FBQO0,
GoR_2,30,5,1,1,1,42.0,0,1.13,AOHQSD0GH8HTE,
GoR_2,30,5,2,1,1,28.0,1,0.88,A1C6NTK19FBQO0,
GoR_2,30,6,1,1,1,29.0,1,1.13,AOHQSD0GH8HTE,
GoR_2,30,6,2,1,1,57.0,0,0.88,A1C6NTK19FBQO0,
GoR_2,30,7,1,1,1,26.0,1,1.13,AOHQSD0GH8HTE,
GoR_2,30,7,2,1,1,27.0,0,0.88,A1C6NTK19FBQO0,
GoR_2,30,8,1,1,1,33.0,1,1.13,AOHQSD0GH8HTE,I just guessed.
GoR_2,30,8,2,1,1,35.0,0,0.88,A1C6NTK19FBQO0,4
GoR_2,33,1,1,0,0,77.0,0,1.3,A3CCXD63N92HZ5,
GoR_2,33,1,2,0,0,60.0,1,1.6,A18FVXL05I2YEO,
GoR_2,33,2,1,0,0,21.0,1,1.3,A3CCXD63N92HZ5,
GoR_2,33,2,2,0,0,25.0,0,1.6,A18FVXL05I2YEO,
GoR_2,33,3,1,0,0,84.0,0,1.3,A3CCXD63N92HZ5,
GoR_2,33,3,2,0,0,40.0,1,1.6,A18FVXL05I2YEO,
GoR_2,33,4,1,0,0,50.0,1,1.3,A3CCXD63N92HZ5,
GoR_2,33,4,2,0,0,85.0,0,1.6,A18FVXL05I2YEO,
GoR_2,33,5,1,0,0,50.0,1,1.3,A3CCXD63N92HZ5,
GoR_2,33,5,2,0,0,85.0,0,1.6,A18FVXL05I2YEO,
GoR_2,33,6,1,0,0,50.0,0,1.3,A3CCXD63N92HZ5,
GoR_2,33,6,2,0,0,30.0,1,1.6,A18FVXL05I2YEO,
GoR_2,33,7,1,0,0,9.0,1,1.3,A3CCXD63N92HZ5,
GoR_2,33,7,2,0,0,40.0,0,1.6,A18FVXL05I2YEO,
GoR_2,33,8,1,0,0,99.0,0,1.3,A3CCXD63N92HZ5,"I just guessed, I had no strategy."
GoR_2,33,8,2,0,0,30.0,1,1.6,A18FVXL05I2YEO,I tried to go all over then noticed the lower numbers were winning
GoR_2,34,1,1,1,0,55.0,1,2.0,A3NEAC780MRHAN,
GoR_2,34,1,2,1,0,80.0,0,2.77,ATTLR47OLPF3X,
GoR_2,34,2,1,1,0,75.0,1,2.0,A3NEAC780MRHAN,
GoR_2,34,2,2,1,0,80.0,0,2.77,ATTLR47OLPF3X,
GoR_2,34,3,1,1,0,70.0,1,2.0,A3NEAC780MRHAN,
GoR_2,34,3,2,1,0,75.0,0,2.77,ATTLR47OLPF3X,
GoR_2,34,4,1,1,0,80.0,0,2.0,A3NEAC780MRHAN,
GoR_2,34,4,2,1,0,65.0,1,2.77,ATTLR47OLPF3X,
GoR_2,34,5,1,1,0,75.0,0,2.0,A3NEAC780MRHAN,
GoR_2,34,5,2,1,0,62.0,1,2.77,ATTLR47OLPF3X,
GoR_2,34,6,1,1,0,68.0,0,2.0,A3NEAC780MRHAN,
GoR_2,34,6,2,1,0,58.0,1,2.77,ATTLR47OLPF3X,
GoR_2,34,7,1,1,0,60.0,0,2.0,A3NEAC780MRHAN,
GoR_2,34,7,2,1,0,50.0,1,2.77,ATTLR47OLPF3X,
GoR_2,34,8,1,1,0,45.0,0,2.0,A3NEAC780MRHAN,Simply logic
GoR_2,34,8,2,1,0,42.0,1,2.77,ATTLR47OLPF3X,Decreasing guess based on average
GoR_2,37,1,1,1,1,29.0,1,1.0,A3UUOBU7X17LUW,
GoR_2,37,1,2,1,1,55.0,0,1.0,AUVD9A0XSB1YA,
