participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.decision_order,player.decision_history,player.guess,player.confirm,player.guess_percent_diff,player.early_finish,player.wp_timer_start,player.sec_spent,player.sec_earned,player.payoff,group.id_in_subsession,subsession.round_number,subsession.pay_per_min,subsession.wait_before_leave,subsession.max_wait_time,subsession.bonus,subsession.views,subsession.selection_method,subsession.true_number_of_dots,subsession.image_path,subsession.worker_running,subsession.last_worker_activity,subsession.number_of_people_going_to_wait,subsession.last_prewait_check,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
11,2nuv9os5,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-14 20:37:24.716333+00:00,1,A2RHE12CJSKCRE,3JNQLM5FT55Z4XSMRXI1A781DWEL2V,0.30,11,4,[10],80,1,0.459459459459459,,2018-08-14 20:37:40.204858+00:00,90,0.3,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
12,w1zmzsco,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:37:25.494814+00:00,1,A2MCI9K0K5VX50,3CN4LGXD5Y7T7AE8EQQFXU7V6PEY4W,0.00,12,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
13,6q6e0mon,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-14 20:37:25.913659+00:00,1,A1W8B7P1WVD7TX,3WYGZ5XF3XYHPQR20CL6MP8QMQ8KSU,0.42,13,11,[52],110,1,0.256756756756757,,2018-08-14 20:42:58.715413+00:00,125,0.42,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
14,s64x8ow5,,0,2,20,consent,1,BlockDropouts,172.16.176.137,2018-08-14 20:37:26.708702+00:00,1,A2M47ONTL35B3A,3WYP994K18A7MXIMXEJUUSR92GKY6H,0.00,14,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
15,in0drupf,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-14 20:37:30.365795+00:00,1,A1XATJA7ENOGWB,34Q075JO1YWFIGL4J0W47468ISQ10M,0.00,15,6,[19],112,0,,,2018-08-14 20:37:49.093178+00:00,154,0.51,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
16,ogoc62f6,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:37:32.107754+00:00,1,A9SG0TNZE9D8R,3YMTUJH0DTZXQOFE4K3GPDFGRNWT42,0.00,16,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
17,qnz17izz,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:37:33.388110+00:00,1,A30NX5HEQGGFPP,3BV8HQ2ZZXK6QFKJH85ER692ZPI6AG,0.00,17,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
18,b2xk1b4b,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-14 20:37:33.453575+00:00,1,A2YI7A7U7J2FEV,3HPZF4IVNNCW2ERN75WXGSJJY2VYC9,1.53,18,12,[13],155,1,0.0472972972972973,,2018-08-14 20:44:15.965633+00:00,159,0.53,1.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
19,ff36uky8,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-14 20:37:34.252077+00:00,1,A3QJJR5Y3XE92N,3VHHR074H406QYPSX9ZW6YP9OC0L7B,0.35,19,5,[11],115,1,0.222972972972973,,2018-08-14 20:37:44.222593+00:00,106,0.35,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
20,xzcnfneb,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:37:44.054787+00:00,1,A31YWD07ZXTPT8,39U1BHVTDMAC8SWA46YXF8NADN13TS,0.00,20,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
21,ol0mclhy,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:37:52.172024+00:00,1,AEOFJWOEXF94U,3X65QVEQI16C2FKOOQ77MKHNPNRLC4,0.00,21,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
22,nnur93vd,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-14 20:37:53.126541+00:00,1,AD1ILDUXZHASF,3OB0CAO74I8NJM23TXAYRJGZBU0YHI,0.69,22,7,[15],120,1,0.189189189189189,,2018-08-14 20:38:02.711915+00:00,205,0.69,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
23,ne658y7t,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:37:54.009114+00:00,1,A2GQGYKPLKQGSZ,3EO896NRAXENT6YZ7RQKVF4Z9KMTJT,0.00,23,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
24,1gi1bs12,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:37:54.410201+00:00,1,A27ODHA3747UVP,33L7PJKHCHHY9P2GGNTT6PVLT9ST89,0.00,24,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
25,2z8oikj6,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:37:55.892384+00:00,1,A1MVEN7FFUKCKY,3QRYMNZ7FZ0JCWPKMPICOMLGI4RNTR,0.00,25,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
26,7k22996i,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-14 20:37:56.632591+00:00,1,A2D9K4Y8PYHUQO,3WYP994K18A7MXIMXEJUUSR92GKY6H,1.72,26,8,[22],160,1,0.0810810810810811,,2018-08-14 20:38:56.845973+00:00,216,0.72,1.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
27,z3l4unq3,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-14 20:38:05.034947+00:00,1,A2GGKN1LCJKZ5F,36U2A8VAG2IELC3BZIDV4BWR3B4YKM,0.00,27,0,,,0,,1,2018-08-14 20:39:14.139858+00:00,301,1.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
28,t8t299ab,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:38:10.411887+00:00,1,A1DINOR5IK1YC4,3TDXMTX3CCDLWX3HTWXR84XLCXN6IK,0.00,28,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
29,i7wikqds,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-14 20:38:16.890598+00:00,1,A3UN1F1EOHKKE6,3MB8LZR5BGCULDWCG3O5A3UVUW0LKH,0.72,29,25,[45],120,1,0.189189189189189,,2018-08-14 20:53:59.067979+00:00,216,0.72,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
30,xxqitbyb,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-14 20:38:17.730774+00:00,1,AA64LSYYZULCK,3L2IS5HSFB1YC949MU8MTI7I1IYNUI,1.89,30,9,[26],147,1,0.00675675675675676,,2018-08-14 20:39:12.988682+00:00,265,0.89,1.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
31,nbmev559,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-14 20:38:19.438109+00:00,1,A30USRN6IWGIY8,3WMOAN2SRCGYPOT9RKIRP491FP7NV7,0.00,31,28,[109],,0,,,2018-08-14 20:57:21.471402+00:00,209,0.7,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
32,ihwm9aif,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:38:20.074207+00:00,1,A1WR7N7SIYSRHQ,3M81GAB8A124J78V2VJ8SMAZH8EQBR,0.00,32,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
33,7okg800e,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:38:23.885656+00:00,1,AXCD1JD9UNVAC,3XIQGXAUMDR1QS6HBS2KHSKWVLB7XK,0.00,33,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
34,443xygwf,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:38:24.808275+00:00,1,A63U6I4JM5APR,3WAKVUDHUXZ99OCM6NRXXLLS13U7US,0.00,34,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
35,c2t8uqjn,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:38:29.802781+00:00,1,A1E3FZULK1PTWB,3GD6L00D3TGCLUSB85J251DLLVR1MX,0.00,35,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
36,g95os22p,,0,2,20,consent,1,BlockDropouts,172.16.176.137,2018-08-14 20:38:31.005771+00:00,1,A3V0ECSC892EW9,3HUTX6F6VV67AIVJ4PYT2OCV81JO2F,0.00,36,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
37,be5kkblp,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:38:33.590179+00:00,1,A31X9CV1UWZV8Z,3D3VGR7TA1YZSDJI0HT2FTMSP23R32,0.00,37,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
38,s9whdupi,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:38:33.877166+00:00,1,A1W4M35XT7JK6M,3PWWM24LHTH4PQ83X89X52MVTWG82X,0.00,38,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
39,bei7hj43,,0,2,20,consent,1,BlockDropouts,172.16.176.137,2018-08-14 20:38:39.208403+00:00,1,AEHONA1BIY9JB,3TMFV4NEP9XQ166ABSY4T92KX3AW82,0.00,39,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
40,r928g47q,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-14 20:38:45.941612+00:00,1,A24NDC7JH9LEM1,3OVR4I9USQ2KY8NMNG9LK84T7GXQ4L,0.10,40,102,[249],125,1,0.155405405405405,,2018-08-14 22:25:59.553528+00:00,28,0.1,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
41,8wdh8sy7,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:38:47.064022+00:00,1,A1HS2UT856NZSV,3R3YRB5GRGMRSQAKDQ3H7CNI2B0AUM,0.00,41,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
42,z5x5wxia,,0,2,20,consent,1,BlockDropouts,172.16.176.137,2018-08-14 20:38:50.094266+00:00,1,A3O9A5HBUSL3GR,3AMYWKA6YC5VSJEKRRAWS1T7O6M6OF,0.00,42,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
43,wf1j8lnv,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:38:51.949786+00:00,1,A2CJYS92WX7HN6,3SB4CE2TJWEJ9U4FIVE4RJMMWTHAXE,0.00,43,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
44,otgclbb7,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:39:06.684390+00:00,1,A3PL7JEMIPFHI9,3YMTUJH0DTZXQOFE4K3GPDFGRNWT42,0.00,44,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
45,8sqo23yr,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-14 20:39:08.841671+00:00,1,A2TDK0LD62WZ8Y,3PWWM24LHTH4PQ83X89X52MVTWG82X,0.59,45,24,[103],230,1,0.554054054054054,,2018-08-14 20:53:33.443437+00:00,177,0.59,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
46,yxe1wthk,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-14 20:39:30.651499+00:00,1,APPNTU0LE3T9L,3BV8HQ2ZZXK6QFKJH85ER692ZPI6AG,0.00,46,103,[252],,0,,,2018-08-14 22:27:15.455502+00:00,117,0.39,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
47,9uukrh0k,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:39:31.744035+00:00,1,A3FSV55XSK0FJ4,3KB8R4ZV1FQD6IEHZZEWY86XBL6BGI,0.00,47,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
