participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.company_history,player.drawn_items_history,player.decision_history,player.results_calculated,player.drawn_item,player.rand_val,player.choice_of_steps,player.choice_of_trade,player.choice_of_number_of_shares,player.price_at_start_of_round,player.price_at_end_of_round,player.price_change,player.payoff,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,n7v08ev1,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.166877+00:00,1,,,4458.88,4,"[[true, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, false, true]]","[true, false, true, false, false, true]","[true, true, false, true, true, false]",1,1,,3,1,20,128.9238049,130.8808683,1.957063358,39.14,39.14,1,2,1kmdkvep,,,,,,0
2,03h6p7k2,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.282588+00:00,1,,,5261.8,19,"[[false, false, false], [true, false, false], [true, false, false], [true, false, false], [true, false, false], [true, false, false]]","[false, true, false, false, false, false]","[true, false, true, false, false, false]",1,0,,7,1,30,116.575488,114.6496609,-1.925827062,-57.77,-57.77,1,2,1kmdkvep,,,,,,0
3,s74rgywl,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.252454+00:00,1,,,11688.51,17,"[[false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false]]","[false, false, false, false, false, true]","[false, false, false, false, false, false]",1,0,,6,0,132,77.3214956,73.76702645,-3.554469153,469.19,469.19,1,2,1kmdkvep,,,,,,0
4,psxiv44l,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.333471+00:00,1,,,7693.13,8,"[[false, false, true], [false, false, true], [false, false, true], [false, false, true], [true, false, true], [true, false, true]]","[true, true, true, false, true, true]","[false, false, false, false, false, true]",1,1,,2,0,13,132.7486615,128.4980494,-4.250612141,55.26,55.26,1,2,1kmdkvep,,,,,,0
5,liz3as6s,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.367539+00:00,1,,,5359.82,16,"[[true, false, false], [true, false, false], [true, false, false], [true, false, false], [false, false, false], [false, false, false]]","[false, true, false, true, false, false]","[false, false, true, false, true, false]",1,0,,3,0,30,140.8960663,139.188406,-1.707660324,51.23,51.23,1,2,1kmdkvep,,,,,,0
6,o1h7oliv,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.421197+00:00,1,,,7220.66,7,"[[false, true, true], [false, true, true], [false, true, true], [false, false, true], [false, false, false], [false, false, false]]","[true, false, false, false, false, false]","[true, true, false, false, false, false]",1,1,,5,1,50,117.9976685,115.5610166,-2.436651855,-121.83,-121.83,1,2,1kmdkvep,,,,,,0
7,pgf2ji7r,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.504222+00:00,1,,,8437.37,3,"[[true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false]]","[false, true, false, true, true, false]","[true, true, true, true, true, true]",1,0,,6,1,50,115.547952,120.7972955,5.249343459,262.47,262.47,1,2,1kmdkvep,,,,,,0
8,kdnrkjag,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.565427+00:00,1,,,10020.91,15,"[[true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true]]","[false, true, false, false, false, true]","[true, false, true, true, false, false]",1,0,,4,1,20,86.2840808,85.76119927,-0.52288153,-10.46,-10.46,1,2,1kmdkvep,,,,,,0
9,kmb6x265,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.575057+00:00,1,,,9818.8,9,"[[false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true]]","[true, false, true, false, false, true]","[false, false, false, false, false, false]",1,1,,4,0,40,136.278844,130.4624629,-5.816381062,232.66,232.66,1,2,1kmdkvep,,,,,,0
10,3e5jndoo,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.642931+00:00,1,,,6548.22,14,"[[true, true, true], [true, true, true], [true, true, true], [true, true, true], [true, true, true], [true, true, true]]","[true, true, true, true, true, true]","[true, true, true, true, true, true]",1,1,,6,1,100,85.0670226,89.55430804,4.487285442,448.73,448.73,1,2,1kmdkvep,,,,,,0
11,24kwwpa2,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.743894+00:00,1,,,6996.93,23,"[[true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false]]","[true, false, false, true, false, true]","[true, false, false, false, false, false]",1,1,,6,1,20,129.616124,124.9356858,-4.680438238,-93.61,-93.61,1,2,1kmdkvep,,,,,,0
12,hpw3ngxf,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.717830+00:00,1,,,6379.86,18,"[[true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true]]","[true, true, true, true, true, true]","[true, false, false, true, true, true]",1,1,,5,1,2,94.22311,95.63268773,1.409577726,2.82,2.82,1,2,1kmdkvep,,,,,,0
13,q0taiwwg,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.912203+00:00,1,,,8695.58,6,"[[false, false, true], [false, false, true], [false, false, true], [false, false, true], [false, false, true], [false, false, true]]","[false, false, false, true, true, false]","[false, false, false, false, false, false]",1,0,,3,0,50,101.6572817,97.11116806,-4.546113638,227.31,227.31,1,2,1kmdkvep,,,,,,0
14,e2nca5u8,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.146234+00:00,1,,,6020.58,20,"[[false, false, false], [false, false, false], [false, false, false], [false, false, false], [false, false, false], [false, false, false]]","[false, false, false, false, false, false]","[false, false, false, false, false, false]",1,0,,4,0,40,121.179764,115.2177196,-5.962044389,238.48,238.48,1,2,1kmdkvep,,,,,,0
15,csalb3iq,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.011393+00:00,1,,,5686.23,2,"[[false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false]]","[false, false, false, false, false, false]","[false, true, false, false, false, false]",1,0,,2,0,30,68.1343306,65.97992307,-2.154407534,64.63,64.63,1,2,1kmdkvep,,,,,,0
16,i13yipgv,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.088181+00:00,1,,,7801.87,1,"[[false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true]]","[false, true, true, true, true, true]","[false, true, true, true, true, true]",1,0,,3,0,40,147.5860233,151.897011,4.310987741,-172.44,-172.44,1,2,1kmdkvep,,,,,,0
17,1thfefg4,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.345903+00:00,1,,,5316.05,13,"[[false, false, false], [false, false, false], [true, false, false], [true, false, false], [true, false, false], [true, false, false]]","[false, false, false, false, false, false]","[false, false, false, false, false, false]",1,0,,8,0,20,113.3119938,108.0395867,-5.272407072,105.45,105.45,1,2,1kmdkvep,,,,,,0
18,qxbv12yy,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.308701+00:00,1,,,3227.03,22,"[[true, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true]]","[true, true, false, true, true, false]","[true, true, true, true, true, true]",1,1,,10,1,32,143.6429187,149.9991179,6.356199152,203.4,203.4,1,2,1kmdkvep,,,,,,0
19,clpwqai9,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.576332+00:00,1,,,7152.23,11,"[[true, false, false], [true, false, false], [true, false, false], [true, false, false], [true, false, false], [true, false, false]]","[false, true, true, true, false, false]","[false, false, true, true, true, false]",1,0,,2,0,50,135.3399062,136.1221709,0.782264658,-39.11,-39.11,1,2,1kmdkvep,,,,,,0
20,0evsw7pn,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.338968+00:00,1,,,8026.68,12,"[[true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true]]","[true, true, true, true, false, false]","[true, true, true, true, true, true]",1,1,,3,1,118,87.9167016,91.99076155,4.074059952,480.74,480.74,1,2,1kmdkvep,,,,,,0
21,ib1s3w5l,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.448985+00:00,1,,,3087.51,21,"[[false, true, false], [false, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false]]","[false, false, true, true, false, true]","[false, false, false, false, false, false]",1,0,,7,0,3,107.9009316,103.2493224,-4.651609161,13.95,13.95,1,2,1kmdkvep,,,,,,0
22,pu8iu4ks,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.870101+00:00,1,,,5837.84,10,"[[true, true, true], [true, true, true], [true, true, true], [true, true, true], [true, true, true], [true, true, true]]","[true, true, true, true, true, true]","[true, true, true, true, true, true]",1,1,,5,1,100,72.754102,76.30959496,3.555492965,355.55,355.55,1,2,1kmdkvep,,,,,,0
23,i0bsf6ef,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:19.983968+00:00,1,,,6652.85,5,"[[false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true]]","[false, true, true, false, true, true]","[true, false, true, true, true, true]",1,0,,3,1,25,89.0946336,91.61422984,2.519596238,62.99,62.99,1,2,1kmdkvep,,,,,,0
1,n7v08ev1,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.166877+00:00,1,,,4458.88,11,"[[true, false, false], [false, false, false], [false, false, false], [false, false, false], [false, false, false], [false, true, false]]","[true, false, false, false, false, false]","[true, true, true, true, true, true]",1,1,,2,1,30,136.1221709,142.9473365,6.825165647,204.75,204.75,1,3,1kmdkvep,,,,,,0
2,03h6p7k2,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.282588+00:00,1,,,5261.8,23,"[[true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false]]","[true, true, false, true, true, true]","[true, false, false, false, false, false]",1,1,,6,1,50,124.9356858,122.167111,-2.768574796,-138.43,-138.43,1,3,1kmdkvep,,,,,,0
3,s74rgywl,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.252454+00:00,1,,,11688.51,20,"[[false, false, false], [false, false, true], [false, false, true], [true, false, true], [true, false, true], [true, false, true]]","[false, true, true, false, false, false]","[false, false, false, false, false, false]",1,0,,4,0,93,115.2177196,109.8854435,-5.332276064,495.9,495.9,1,3,1kmdkvep,,,,,,0
4,psxiv44l,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.333471+00:00,1,,,7693.13,14,"[[true, true, true], [true, true, true], [true, true, true], [true, true, true], [true, false, true], [true, false, true]]","[true, true, true, true, true, false]","[true, true, true, true, true, true]",1,1,,6,1,112,89.55430804,93.32723104,3.772922998,422.57,422.57,1,3,1kmdkvep,,,,,,0
5,liz3as6s,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.367539+00:00,1,,,5359.82,16,"[[false, false, false], [false, false, false], [false, false, false], [false, false, false], [false, false, false], [false, false, false]]","[false, false, false, false, false, false]","[false, false, false, false, false, false]",1,0,,3,0,50,139.188406,132.8803874,-6.308018559,315.4,315.4,1,3,1kmdkvep,,,,,,0
6,o1h7oliv,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.421197+00:00,1,,,7220.66,2,"[[false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, false, false]]","[true, true, false, true, false, false]","[true, true, true, false, true, false]",1,1,,2,1,50,65.97992307,67.3226145,1.342691434,67.13,67.13,1,3,1kmdkvep,,,,,,0
7,pgf2ji7r,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.504222+00:00,1,,,8437.37,8,"[[true, false, true], [true, false, true], [true, false, true], [true, false, true], [false, false, true], [false, false, true]]","[true, true, true, false, true, false]","[true, true, true, true, false, true]",1,1,,2,1,30,128.4980494,132.3195813,3.821531988,114.65,114.65,1,3,1kmdkvep,,,,,,0
8,kdnrkjag,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.565427+00:00,1,,,10020.91,7,"[[false, false, false], [false, false, false], [false, false, false], [false, false, false], [false, true, false], [false, true, false]]","[false, false, false, false, false, true]","[false, false, false, false, false, false]",1,0,,5,0,86,115.5610166,111.2309454,-4.330071294,372.39,372.39,1,3,1kmdkvep,,,,,,0
9,kmb6x265,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.575057+00:00,1,,,9818.8,19,"[[true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false]]","[true, true, true, true, false, false]","[false, false, false, true, false, false]",1,1,,7,0,60,114.6496609,111.5094067,-3.140254213,188.42,188.42,1,3,1kmdkvep,,,,,,0
10,3e5jndoo,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.642931+00:00,1,,,6548.22,6,"[[false, false, true], [false, false, true], [false, false, true], [false, false, true], [false, false, true], [false, false, true]]","[false, false, false, false, true, true]","[false, false, false, false, false, false]",1,0,,3,0,70,97.11116806,92.55374095,-4.557427117,319.02,319.02,1,3,1kmdkvep,,,,,,0
11,24kwwpa2,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.743894+00:00,1,,,6996.93,5,"[[false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true]]","[true, true, false, true, false, true]","[true, true, true, false, true, false]",1,1,,3,1,40,91.61422984,92.73925258,1.125022742,45,45,1,3,1kmdkvep,,,,,,0
12,hpw3ngxf,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.717830+00:00,1,,,6379.86,15,"[[true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true]]","[true, true, false, true, false, false]","[true, true, true, false, true, false]",1,1,,4,1,20,85.76119927,87.08964025,1.328440977,26.57,26.57,1,3,1kmdkvep,,,,,,0
13,q0taiwwg,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.912203+00:00,1,,,8695.58,12,"[[true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true]]","[true, true, true, true, true, false]","[true, true, true, true, true, true]",1,1,,3,1,50,91.99076155,96.42747598,4.43671443,221.84,221.84,1,3,1kmdkvep,,,,,,0
14,e2nca5u8,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.146234+00:00,1,,,6020.58,22,"[[false, true, true], [false, true, true], [true, true, true], [true, true, true], [true, true, true], [true, true, true]]","[false, true, true, true, true, true]","[true, true, true, true, true, true]",1,0,,10,1,60,149.9991179,156.611079,6.611961115,396.72,396.72,1,3,1kmdkvep,,,,,,0
15,csalb3iq,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.011393+00:00,1,,,5686.23,9,"[[false, true, true], [false, true, true], [false, false, true], [false, false, true], [false, false, true], [false, true, true]]","[true, true, true, true, false, true]","[false, false, false, true, false, false]",1,1,,4,0,50,130.4624629,127.0025984,-3.459864517,172.99,172.99,1,3,1kmdkvep,,,,,,0
16,i13yipgv,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.088181+00:00,1,,,7801.87,3,"[[true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, false, false]]","[false, false, false, true, true, false]","[true, true, true, true, true, true]",1,0,,6,1,75,120.7972955,126.0737213,5.276425866,395.73,395.73,1,3,1kmdkvep,,,,,,0
17,1thfefg4,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.345903+00:00,1,,,5316.05,18,"[[true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true]]","[true, false, true, true, true, true]","[true, true, true, true, true, true]",1,1,,5,1,40,95.63268773,100.2756547,4.642966989,185.72,185.72,1,3,1kmdkvep,,,,,,0
18,qxbv12yy,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.308701+00:00,1,,,3227.03,17,"[[false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false]]","[true, false, false, false, true, false]","[true, false, false, false, false, false]",1,1,,6,1,40,73.76702645,71.81146258,-1.955563871,-78.22,-78.22,1,3,1kmdkvep,,,,,,0
19,clpwqai9,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.576332+00:00,1,,,7152.23,4,"[[true, false, true], [true, false, true], [false, false, true], [false, false, false], [false, false, false], [false, false, false]]","[false, true, false, false, false, false]","[false, false, true, false, false, false]",1,0,,3,0,77,130.8808683,127.0683086,-3.812559692,293.57,293.57,1,3,1kmdkvep,,,,,,0
20,0evsw7pn,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.338968+00:00,1,,,8026.68,10,"[[true, true, true], [true, true, true], [true, true, true], [true, true, false], [true, true, false], [true, true, false]]","[true, true, true, true, true, true]","[true, true, true, true, true, true]",1,1,,5,1,142,76.30959496,80.21359384,3.903998878,554.37,554.37,1,3,1kmdkvep,,,,,,0
21,ib1s3w5l,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.448985+00:00,1,,,3087.51,13,"[[false, false, false], [false, false, false], [false, false, false], [false, false, false], [false, false, false], [false, false, false]]","[false, false, false, false, false, false]","[false, false, false, false, false, false]",1,0,,8,0,10,108.0395867,102.988736,-5.05085068,50.51,50.51,1,3,1kmdkvep,,,,,,0
