participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.arrival_time,player.choice,player.strategy_cafeteria_dilemma,player.common_knowledge,player.certainty,player.payoff,group.id_in_subsession,group.payoff,group.game_lost,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,d6ujywie,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.337510+00:00,0,1,,,7.00,2,8.58,Office,,,,0.50,2,,0,2,ehxbbce7,,,,,,0
2,hu128lf4,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.369848+00:00,0,1,,,7.00,1,8.58,Office,,,,0.50,2,,0,2,ehxbbce7,,,,,,0
3,7nhv7537,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.387877+00:00,0,1,,,3.00,1,9.0,Office,,,,0.50,3,,0,2,ehxbbce7,,,,,,0
4,61m98z3b,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.407475+00:00,0,1,,,3.00,2,9.05,Office,,,,0.50,3,,0,2,ehxbbce7,,,,,,0
5,qwy8cd6i,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.452467+00:00,0,1,,,16.00,2,8.41,Cafeteria,,,,1.00,4,,0,2,ehxbbce7,,,,,,0
6,gf76e34p,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.444565+00:00,0,1,,,16.00,1,8.36,Cafeteria,,,,1.00,4,,0,2,ehxbbce7,,,,,,0
7,1l62vonb,,0,270,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.512918+00:00,0,1,,,22.00,2,8.5,Cafeteria,,,,1.00,5,,0,2,ehxbbce7,,,,,,0
8,uvcw46t8,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.489988+00:00,0,1,,,22.00,1,8.5,Cafeteria,,,,1.00,5,,0,2,ehxbbce7,,,,,,0
9,tv3nj3qk,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.510125+00:00,0,1,,,23.50,1,8.41,Cafeteria,,,,1.00,8,,0,2,ehxbbce7,,,,,,0
10,he97xswo,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.555228+00:00,0,1,,,24.00,1,8.42,Cafeteria,,,,1.00,6,,0,2,ehxbbce7,,,,,,0
11,ax7f0hgg,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.572256+00:00,0,1,,,15.50,1,9.05,Office,,,,0.50,7,,0,2,ehxbbce7,,,,,,0
12,12jy6dzh,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.642238+00:00,0,1,,,20.00,2,8.46,Cafeteria,,,,1.00,8,,0,2,ehxbbce7,,,,,,0
13,g6h41we7,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.578647+00:00,0,1,,,16.00,2,8.47,Cafeteria,,,,1.00,6,,0,2,ehxbbce7,,,,,,0
14,az3wum3f,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.592378+00:00,0,1,,,11.00,2,9.05,Office,,,,0.50,7,,0,2,ehxbbce7,,,,,,0
15,mae5qjwo,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.814153+00:00,0,1,,,18.00,1,8.44,Cafeteria,,,,-2.00,9,,0,2,ehxbbce7,,,,,,0
16,vgrx5e93,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:20.709511+00:00,0,1,,,22.50,1,8.42,Cafeteria,,,,1.00,11,,0,2,ehxbbce7,,,,,,0
17,rpwcb2b4,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.916935+00:00,0,1,,,6.50,2,8.44,Office,,,,-2.00,9,,0,2,ehxbbce7,,,,,,0
18,xkeg6nkv,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:20.259884+00:00,0,1,,,8.00,1,8.53,Cafeteria,,,,1.00,10,,0,2,ehxbbce7,,,,,,0
19,n6csdstt,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:20.731742+00:00,0,1,,,8.50,2,8.53,Cafeteria,,,,1.00,10,,0,2,ehxbbce7,,,,,,0
20,1z76k9lp,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:21.396511+00:00,0,1,,,11.50,2,8.37,Cafeteria,,,,1.00,11,,0,2,ehxbbce7,,,,,,0
21,vqmn020s,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:21.866459+00:00,0,1,,,21.00,1,8.47,Cafeteria,,,,-2.00,13,,0,2,ehxbbce7,,,,,,0
22,k2manxwb,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:21.733201+00:00,0,1,,,21.00,1,8.52,Cafeteria,,,,-2.00,12,,0,2,ehxbbce7,,,,,,0
23,cwdt9ccs,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:22.399343+00:00,0,1,,,10.50,2,8.52,Office,,,,-2.00,13,,0,2,ehxbbce7,,,,,,0
24,lvfwyrpg,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:21.908480+00:00,0,1,,,10.50,2,8.52,Office,,,,-2.00,12,,0,2,ehxbbce7,,,,,,0
1,d6ujywie,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.337510+00:00,0,1,,,7.00,2,8.37,Cafeteria,,,,1.00,2,,0,3,ehxbbce7,,,,,,0
2,hu128lf4,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.369848+00:00,0,1,,,7.00,1,8.37,Cafeteria,,,,1.00,2,,0,3,ehxbbce7,,,,,,0
3,7nhv7537,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.387877+00:00,0,1,,,3.00,1,8.59,Cafeteria,,,,-2.00,3,,0,3,ehxbbce7,,,,,,0
4,61m98z3b,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.407475+00:00,0,1,,,3.00,2,8.59,Office,,,,-2.00,3,,0,3,ehxbbce7,,,,,,0
5,qwy8cd6i,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.452467+00:00,0,1,,,16.00,2,8.56,Cafeteria,,,,1.00,4,,0,3,ehxbbce7,,,,,,0
6,gf76e34p,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.444565+00:00,0,1,,,16.00,1,8.51,Cafeteria,,,,1.00,4,,0,3,ehxbbce7,,,,,,0
7,1l62vonb,,0,270,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.512918+00:00,0,1,,,22.00,2,8.58,Office,,,,-2.00,5,,0,3,ehxbbce7,,,,,,0
8,uvcw46t8,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.489988+00:00,0,1,,,22.00,1,8.58,Cafeteria,,,,-2.00,5,,0,3,ehxbbce7,,,,,,0
9,tv3nj3qk,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.510125+00:00,0,1,,,23.50,1,8.58,Office,,,,0.50,8,,0,3,ehxbbce7,,,,,,0
10,he97xswo,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.555228+00:00,0,1,,,24.00,1,8.58,Cafeteria,,,,1.00,6,,0,3,ehxbbce7,,,,,,0
11,ax7f0hgg,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.572256+00:00,0,1,,,15.50,1,8.48,Cafeteria,,,,1.00,7,,0,3,ehxbbce7,,,,,,0
12,12jy6dzh,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.642238+00:00,0,1,,,20.00,2,9.03,Office,,,,0.50,8,,0,3,ehxbbce7,,,,,,0
13,g6h41we7,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.578647+00:00,0,1,,,16.00,2,8.53,Cafeteria,,,,1.00,6,,0,3,ehxbbce7,,,,,,0
14,az3wum3f,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.592378+00:00,0,1,,,11.00,2,8.43,Cafeteria,,,,1.00,7,,0,3,ehxbbce7,,,,,,0
15,mae5qjwo,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.814153+00:00,0,1,,,18.00,1,8.51,Cafeteria,,,,1.00,9,,0,3,ehxbbce7,,,,,,0
16,vgrx5e93,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:20.709511+00:00,0,1,,,22.50,1,8.54,Cafeteria,,,,1.00,11,,0,3,ehxbbce7,,,,,,0
17,rpwcb2b4,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.916935+00:00,0,1,,,6.50,2,8.51,Cafeteria,,,,1.00,9,,0,3,ehxbbce7,,,,,,0
18,xkeg6nkv,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:20.259884+00:00,0,1,,,8.00,1,9.03,Office,,,,-2.00,10,,0,3,ehxbbce7,,,,,,0
19,n6csdstt,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:20.731742+00:00,0,1,,,8.50,2,8.58,Cafeteria,,,,-2.00,10,,0,3,ehxbbce7,,,,,,0
20,1z76k9lp,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:21.396511+00:00,0,1,,,11.50,2,8.49,Cafeteria,,,,1.00,11,,0,3,ehxbbce7,,,,,,0
21,vqmn020s,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:21.866459+00:00,0,1,,,21.00,1,8.38,Cafeteria,,,,1.00,13,,0,3,ehxbbce7,,,,,,0
22,k2manxwb,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:21.733201+00:00,0,1,,,21.00,1,8.38,Cafeteria,,,,1.00,12,,0,3,ehxbbce7,,,,,,0
23,cwdt9ccs,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:22.399343+00:00,0,1,,,10.50,2,8.33,Cafeteria,,,,1.00,13,,0,3,ehxbbce7,,,,,,0
24,lvfwyrpg,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:21.908480+00:00,0,1,,,10.50,2,8.33,Cafeteria,,,,1.00,12,,0,3,ehxbbce7,,,,,,0
1,d6ujywie,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.337510+00:00,0,1,,,7.00,2,9.01,Office,,,100% certain,0.50,2,,0,4,ehxbbce7,,,,,,0
2,hu128lf4,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.369848+00:00,0,1,,,7.00,1,8.56,Office,,,,0.50,2,,0,4,ehxbbce7,,,,,,0
3,7nhv7537,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.387877+00:00,0,1,,,3.00,1,8.54,Cafeteria,,,,1.00,3,,0,4,ehxbbce7,,,,,,0
4,61m98z3b,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.407475+00:00,0,1,,,3.00,2,8.49,Cafeteria,,,,1.00,3,,0,4,ehxbbce7,,,,,,0
5,qwy8cd6i,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.452467+00:00,0,1,,,16.00,2,8.36,Cafeteria,,,,1.00,4,,0,4,ehxbbce7,,,,,,0
6,gf76e34p,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.444565+00:00,0,1,,,16.00,1,8.36,Cafeteria,,,,1.00,4,,0,4,ehxbbce7,,,,,,0
7,1l62vonb,,0,270,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.512918+00:00,0,1,,,22.00,2,8.54,Cafeteria,,,,1.00,5,,0,4,ehxbbce7,,,,,,0
8,uvcw46t8,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.489988+00:00,0,1,,,22.00,1,8.59,Cafeteria,,,,1.00,5,,0,4,ehxbbce7,,,,,,0
9,tv3nj3qk,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.510125+00:00,0,1,,,23.50,1,8.42,Cafeteria,,,,1.00,8,,0,4,ehxbbce7,,,,,,0
10,he97xswo,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.555228+00:00,0,1,,,24.00,1,8.41,Cafeteria,,,,1.00,6,,0,4,ehxbbce7,,,,,,0
11,ax7f0hgg,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.572256+00:00,0,1,,,15.50,1,8.47,Cafeteria,,,,1.00,7,,0,4,ehxbbce7,,,,,,0
12,12jy6dzh,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.642238+00:00,0,1,,,20.00,2,8.37,Cafeteria,,,,1.00,8,,0,4,ehxbbce7,,,,,,0
13,g6h41we7,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.578647+00:00,0,1,,,16.00,2,8.46,Cafeteria,,,,1.00,6,,0,4,ehxbbce7,,,,,,0
14,az3wum3f,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.592378+00:00,0,1,,,11.00,2,8.42,Cafeteria,,,,1.00,7,,0,4,ehxbbce7,,,,,,0
15,mae5qjwo,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.814153+00:00,0,1,,,18.00,1,8.54,Cafeteria,,,,1.00,9,,0,4,ehxbbce7,,,,,,0
16,vgrx5e93,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:20.709511+00:00,0,1,,,22.50,1,9.02,Office,,,,0.50,11,,0,4,ehxbbce7,,,,,,0
17,rpwcb2b4,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.916935+00:00,0,1,,,6.50,2,8.54,Cafeteria,,,,1.00,9,,0,4,ehxbbce7,,,,,,0
18,xkeg6nkv,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:20.259884+00:00,0,1,,,8.00,1,8.35,Cafeteria,,,,1.00,10,,0,4,ehxbbce7,,,,,,0
19,n6csdstt,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:20.731742+00:00,0,1,,,8.50,2,8.3,Cafeteria,,,,1.00,10,,0,4,ehxbbce7,,,,,,0
20,1z76k9lp,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:21.396511+00:00,0,1,,,11.50,2,8.57,Office,,,,0.50,11,,0,4,ehxbbce7,,,,,,0
21,vqmn020s,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:21.866459+00:00,0,1,,,21.00,1,9.05,Office,,,,0.50,13,,0,4,ehxbbce7,,,,,,0
22,k2manxwb,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:21.733201+00:00,0,1,,,21.00,1,8.57,Office,,,I think so but I'm not sure,0.50,12,,0,4,ehxbbce7,,,,,,0
23,cwdt9ccs,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:22.399343+00:00,0,1,,,10.50,2,9.05,Office,,,,0.50,13,,0,4,ehxbbce7,,,,,,0
24,lvfwyrpg,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:21.908480+00:00,0,1,,,10.50,2,8.57,Office,,,,0.50,12,,0,4,ehxbbce7,,,,,,0
1,d6ujywie,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.337510+00:00,0,1,,,7.00,2,8.46,Cafeteria,,,,1.00,2,,0,5,ehxbbce7,,,,,,0
2,hu128lf4,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.369848+00:00,0,1,,,7.00,1,8.41,Cafeteria,,,,1.00,2,,0,5,ehxbbce7,,,,,,0
3,7nhv7537,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.387877+00:00,0,1,,,3.00,1,9.04,Office,,,,0.50,3,,0,5,ehxbbce7,,,,,,0
4,61m98z3b,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.407475+00:00,0,1,,,3.00,2,9.04,Office,,,,0.50,3,,0,5,ehxbbce7,,,,,,0
5,qwy8cd6i,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.452467+00:00,0,1,,,16.00,2,8.42,Cafeteria,,,,1.00,4,,0,5,ehxbbce7,,,,,,0
6,gf76e34p,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.444565+00:00,0,1,,,16.00,1,8.47,Cafeteria,,,,1.00,4,,0,5,ehxbbce7,,,,,,0
7,1l62vonb,,0,270,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.512918+00:00,0,1,,,22.00,2,9.0,Office,,,,-2.00,5,,0,5,ehxbbce7,,,,,,0
8,uvcw46t8,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.489988+00:00,0,1,,,22.00,1,8.55,Cafeteria,,,,-2.00,5,,0,5,ehxbbce7,,,,,,0
9,tv3nj3qk,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.510125+00:00,0,1,,,23.50,1,8.5,Cafeteria,,,,1.00,8,,0,5,ehxbbce7,,,,,,0
10,he97xswo,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.555228+00:00,0,1,,,24.00,1,8.43,Cafeteria,,,,1.00,6,,0,5,ehxbbce7,,,,,,0
11,ax7f0hgg,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.572256+00:00,0,1,,,15.50,1,8.38,Cafeteria,,,,1.00,7,,0,5,ehxbbce7,,,,,,0
12,12jy6dzh,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.642238+00:00,0,1,,,20.00,2,8.45,Cafeteria,,,,1.00,8,,0,5,ehxbbce7,,,,,,0
13,g6h41we7,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.578647+00:00,0,1,,,16.00,2,8.38,Cafeteria,,,,1.00,6,,0,5,ehxbbce7,,,,,,0
14,az3wum3f,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.592378+00:00,0,1,,,11.00,2,8.43,Cafeteria,,,,1.00,7,,0,5,ehxbbce7,,,,,,0
15,mae5qjwo,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.814153+00:00,0,1,,,18.00,1,8.48,Cafeteria,,,,1.00,9,,0,5,ehxbbce7,,,,,,0
16,vgrx5e93,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:20.709511+00:00,0,1,,,22.50,1,8.38,Cafeteria,,,,1.00,11,,0,5,ehxbbce7,,,,,,0
17,rpwcb2b4,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.916935+00:00,0,1,,,6.50,2,8.43,Cafeteria,,,,1.00,9,,0,5,ehxbbce7,,,,,,0
18,xkeg6nkv,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:20.259884+00:00,0,1,,,8.00,1,8.5,Cafeteria,,,,1.00,10,,0,5,ehxbbce7,,,,,,0
19,n6csdstt,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:20.731742+00:00,0,1,,,8.50,2,8.45,Cafeteria,,,,1.00,10,,0,5,ehxbbce7,,,,,,0
