"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-Paying non-submitted hits","UPDATE-Paying non-submitted hits","CURRENT-CIBS_WoT_dots_4","UPDATE-CIBS_WoT_dots_4","CURRENT-CIBS_WoT_dots_3","UPDATE-CIBS_WoT_dots_3","CURRENT-CIBS_WoT_dots_2","UPDATE-CIBS_WoT_dots_2","CURRENT-CIBS_WoT_dots_1","UPDATE-CIBS_WoT_dots_1","CURRENT-CIBS_WoT_01_test","UPDATE-CIBS_WoT_01_test","CURRENT-CIBSGOR420180118","UPDATE-CIBSGOR420180118","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A104336318AW2NFOC4SE3","https://master-requester.mturk.com/workers/A104336318AW2NFOC4SE3","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","Never Blocked","",""
"A104364P3ZUQWU","https://master-requester.mturk.com/workers/A104364P3ZUQWU","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A10443E11ZWEHJ","https://master-requester.mturk.com/workers/A10443E11ZWEHJ","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","","","1","","1","","Never Blocked","",""
"A104A3C7CXCP43","https://master-requester.mturk.com/workers/A104A3C7CXCP43","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","Never Blocked","",""
"A104Q2XZE0J4D2","https://master-requester.mturk.com/workers/A104Q2XZE0J4D2","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","","","","","","","Never Blocked","",""
"A104V8NZIQFN2F","https://master-requester.mturk.com/workers/A104V8NZIQFN2F","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","","","","","","","Never Blocked","",""
"A105R3WPKKO2UA","https://master-requester.mturk.com/workers/A105R3WPKKO2UA","4","4","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","","","","","Never Blocked","",""
"A105RM9RT3LB2P","https://master-requester.mturk.com/workers/A105RM9RT3LB2P","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A105ZZ36NN238H","https://master-requester.mturk.com/workers/A105ZZ36NN238H","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","","","","","1","","","","Never Blocked","",""
"A1061V5PKLRQA0","https://master-requester.mturk.com/workers/A1061V5PKLRQA0","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A106UY4IZPKELA","https://master-requester.mturk.com/workers/A106UY4IZPKELA","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A109CH3492UU42","https://master-requester.mturk.com/workers/A109CH3492UU42","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","","","","","1","","1","","Never Blocked","",""
"A10A423L484USW","https://master-requester.mturk.com/workers/A10A423L484USW","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","Never Blocked","",""
"A10ARSSXF5SFCW","https://master-requester.mturk.com/workers/A10ARSSXF5SFCW","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","","","","","","","Never Blocked","",""
"A10AU8CYQYF8GI","https://master-requester.mturk.com/workers/A10AU8CYQYF8GI","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A10AVMDRAU2NN5","https://master-requester.mturk.com/workers/A10AVMDRAU2NN5","4","4","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","","","1","","","","Never Blocked","",""
"A10B427PT8DMLL","https://master-requester.mturk.com/workers/A10B427PT8DMLL","4","4","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","","","","","Never Blocked","",""
"A10BH0KB2XIJC0","https://master-requester.mturk.com/workers/A10BH0KB2XIJC0","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","","","","","","","Never Blocked","",""
"A10BH9PYCYUKDJ","https://master-requester.mturk.com/workers/A10BH9PYCYUKDJ","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","","","1","","","","Never Blocked","",""
"A10BOAO1EONNS7","https://master-requester.mturk.com/workers/A10BOAO1EONNS7","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A10CEQCWT8JKFF","https://master-requester.mturk.com/workers/A10CEQCWT8JKFF","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","","","","","Never Blocked","",""
"A10CLUSRQDKJBH","https://master-requester.mturk.com/workers/A10CLUSRQDKJBH","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","1","","","","Never Blocked","",""
"A10CPP7P7XCERE","https://master-requester.mturk.com/workers/A10CPP7P7XCERE","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A10DBWQ3JAUL4J","https://master-requester.mturk.com/workers/A10DBWQ3JAUL4J","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","Never Blocked","",""
"A10DD9P027RX3Y","https://master-requester.mturk.com/workers/A10DD9P027RX3Y","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A10DEO061A6L3O","https://master-requester.mturk.com/workers/A10DEO061A6L3O","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","","","","","1","","Never Blocked","",""
"A10EF4V8OTA9XX","https://master-requester.mturk.com/workers/A10EF4V8OTA9XX","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","1","","Never Blocked","",""
"A10F0OVV7A0U74","https://master-requester.mturk.com/workers/A10F0OVV7A0U74","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","Never Blocked","",""
"A10GSXNSXGUDUK","https://master-requester.mturk.com/workers/A10GSXNSXGUDUK","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","Never Blocked","",""
"A10H1H4FU0S098","https://master-requester.mturk.com/workers/A10H1H4FU0S098","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","","","","","Never Blocked","",""
"A10HEV2856GIQL","https://master-requester.mturk.com/workers/A10HEV2856GIQL","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A10I4UU6XTEGW5","https://master-requester.mturk.com/workers/A10I4UU6XTEGW5","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A10JG5WAZAUW5Z","https://master-requester.mturk.com/workers/A10JG5WAZAUW5Z","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","1","","","","","","","","Never Blocked","",""
"A10JK3HAFBCXH5","https://master-requester.mturk.com/workers/A10JK3HAFBCXH5","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","1","","Never Blocked","",""
"A10KIZ2F3F2LR0","https://master-requester.mturk.com/workers/A10KIZ2F3F2LR0","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","","","","","","","Never Blocked","",""
"A10KOZ7OXNDU61","https://master-requester.mturk.com/workers/A10KOZ7OXNDU61","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A10LGIY5HFYMZM","https://master-requester.mturk.com/workers/A10LGIY5HFYMZM","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","","","","","1","","1","","Never Blocked","",""
"A10LLZZHZVGWRW","https://master-requester.mturk.com/workers/A10LLZZHZVGWRW","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","","","","","","","1","","Never Blocked","",""
"A10M4SVDCER758","https://master-requester.mturk.com/workers/A10M4SVDCER758","4","4","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","","","","","Never Blocked","",""
"A10NJNV47GZDTH","https://master-requester.mturk.com/workers/A10NJNV47GZDTH","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","1","","","","","","Never Blocked","",""
"A10OGH5CQBXL5N","https://master-requester.mturk.com/workers/A10OGH5CQBXL5N","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A10OUK3W46D5SO","https://master-requester.mturk.com/workers/A10OUK3W46D5SO","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","1","","Never Blocked","",""
"A10PY52XVGYDEB","https://master-requester.mturk.com/workers/A10PY52XVGYDEB","5","5","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","1","","","","Never Blocked","",""
"A10QG0HSMUUCRF","https://master-requester.mturk.com/workers/A10QG0HSMUUCRF","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","","","","","","","","","Never Blocked","",""
"A10QZC063IGNSU","https://master-requester.mturk.com/workers/A10QZC063IGNSU","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A10RNJJJXFDSZP","https://master-requester.mturk.com/workers/A10RNJJJXFDSZP","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","1","","1","","","","Never Blocked","",""
"A10S2IYFD38OZZ","https://master-requester.mturk.com/workers/A10S2IYFD38OZZ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A10S5LDYYYB496","https://master-requester.mturk.com/workers/A10S5LDYYYB496","5","5","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","1","","","","Never Blocked","",""
"A10SCQGF2VN63Q","https://master-requester.mturk.com/workers/A10SCQGF2VN63Q","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","","","","","","","Never Blocked","",""
"A10TWCI2VE0LWJ","https://master-requester.mturk.com/workers/A10TWCI2VE0LWJ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","Never Blocked","",""
"A10TYE41WZEXYK","https://master-requester.mturk.com/workers/A10TYE41WZEXYK","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","","","","","","","","","Never Blocked","",""
"A10UUNGRUJH6GH","https://master-requester.mturk.com/workers/A10UUNGRUJH6GH","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","1","","","","","","Never Blocked","",""
"A10UWP6T47G9TR","https://master-requester.mturk.com/workers/A10UWP6T47G9TR","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","1","","","","","","Never Blocked","",""
"A10VLJT7V96D9W","https://master-requester.mturk.com/workers/A10VLJT7V96D9W","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","Never Blocked","",""
"A10VQSMGPJFSMU","https://master-requester.mturk.com/workers/A10VQSMGPJFSMU","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A10VSBSNWO84SH","https://master-requester.mturk.com/workers/A10VSBSNWO84SH","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","","","","","","","Never Blocked","",""
"A10VV1SPM63I94","https://master-requester.mturk.com/workers/A10VV1SPM63I94","5","5","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","1","","1","","Never Blocked","",""
"A10VYQMVSHNFCV","https://master-requester.mturk.com/workers/A10VYQMVSHNFCV","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","Never Blocked","",""
"A10WG1XD0Q2CHG","https://master-requester.mturk.com/workers/A10WG1XD0Q2CHG","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","Never Blocked","",""
"A10XHMO4WP3TFA","https://master-requester.mturk.com/workers/A10XHMO4WP3TFA","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","","","","","Never Blocked","",""
"A10YGFN8NW849U","https://master-requester.mturk.com/workers/A10YGFN8NW849U","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","Never Blocked","",""
"A10YL4EPO1NNI5","https://master-requester.mturk.com/workers/A10YL4EPO1NNI5","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A10Z4QVBJIA914","https://master-requester.mturk.com/workers/A10Z4QVBJIA914","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","","","","","Never Blocked","",""
"A10ZKWRZ8WL775","https://master-requester.mturk.com/workers/A10ZKWRZ8WL775","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","1","","Never Blocked","",""
"A110BZSDZN7E16","https://master-requester.mturk.com/workers/A110BZSDZN7E16","6","6","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","1","","1","","Never Blocked","",""
"A110EKN2EUFLUL","https://master-requester.mturk.com/workers/A110EKN2EUFLUL","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","Never Blocked","",""
"A110SC5K5Y3IHS","https://master-requester.mturk.com/workers/A110SC5K5Y3IHS","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","","","","","Never Blocked","",""
"A111926L5B4G25","https://master-requester.mturk.com/workers/A111926L5B4G25","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","","","","","","","Never Blocked","",""
"A111EHX8MOB8B9","https://master-requester.mturk.com/workers/A111EHX8MOB8B9","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","","","","","","","","","Never Blocked","",""
"A111ITGHJQZFPL","https://master-requester.mturk.com/workers/A111ITGHJQZFPL","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","1","","","","","","Never Blocked","",""
"A112V6HAH568DI","https://master-requester.mturk.com/workers/A112V6HAH568DI","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A112W2FKT6UT62","https://master-requester.mturk.com/workers/A112W2FKT6UT62","4","4","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","1","","","","Never Blocked","",""
"A113PABI98VW6G","https://master-requester.mturk.com/workers/A113PABI98VW6G","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","","","","","","","","","Never Blocked","",""
"A114FUPMPRD94G","https://master-requester.mturk.com/workers/A114FUPMPRD94G","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","1","","Never Blocked","",""
"A114JRUBJ5IN7D","https://master-requester.mturk.com/workers/A114JRUBJ5IN7D","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","Never Blocked","",""
"A114QGBEJNS4GB","https://master-requester.mturk.com/workers/A114QGBEJNS4GB","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A115AG76SGE89Y","https://master-requester.mturk.com/workers/A115AG76SGE89Y","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A115SW2VTLJ6PA","https://master-requester.mturk.com/workers/A115SW2VTLJ6PA","4","4","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","","","","","Never Blocked","",""
"A115UFR6VA6OM1","https://master-requester.mturk.com/workers/A115UFR6VA6OM1","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","","","","","","","1","","Never Blocked","",""
"A1160COTUR26JZ","https://master-requester.mturk.com/workers/A1160COTUR26JZ","4","4","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","1","","1","","Never Blocked","",""
"A116PPV0HQPJTL","https://master-requester.mturk.com/workers/A116PPV0HQPJTL","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","Never Blocked","",""
"A1187B8YT74YAJ","https://master-requester.mturk.com/workers/A1187B8YT74YAJ","4","4","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","","","","","Never Blocked","",""
"A118BQHK3S4UDV","https://master-requester.mturk.com/workers/A118BQHK3S4UDV","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","1","","1","","","","","","Never Blocked","",""
"A118LCL20SM0E5","https://master-requester.mturk.com/workers/A118LCL20SM0E5","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","Never Blocked","",""
"A11961SJY9PA70","https://master-requester.mturk.com/workers/A11961SJY9PA70","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","1","","1","","","","Never Blocked","",""
"A119OPW2XJKU8P","https://master-requester.mturk.com/workers/A119OPW2XJKU8P","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","1","","","","","","","","Never Blocked","",""
"A11A9P82LT2M0H","https://master-requester.mturk.com/workers/A11A9P82LT2M0H","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A11AK3C8KB8G6X","https://master-requester.mturk.com/workers/A11AK3C8KB8G6X","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","Never Blocked","",""
"A11BACV6DY5S8M","https://master-requester.mturk.com/workers/A11BACV6DY5S8M","5","5","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","1","","","","Never Blocked","",""
"A11BICVRH5CD1V","https://master-requester.mturk.com/workers/A11BICVRH5CD1V","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","","","","","","","Never Blocked","",""
"A11BIQ0QEUK0UV","https://master-requester.mturk.com/workers/A11BIQ0QEUK0UV","4","4","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","","","","","Never Blocked","",""
"A11BLQKVW1951L","https://master-requester.mturk.com/workers/A11BLQKVW1951L","4","4","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","1","","1","","","","Never Blocked","",""
"A11CEBNEYKIPU1","https://master-requester.mturk.com/workers/A11CEBNEYKIPU1","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A11CKLV4K6SVRC","https://master-requester.mturk.com/workers/A11CKLV4K6SVRC","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A11CMD4XAPS2Y4","https://master-requester.mturk.com/workers/A11CMD4XAPS2Y4","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","Never Blocked","",""
"A11CYLUNFIL8C5","https://master-requester.mturk.com/workers/A11CYLUNFIL8C5","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","1","","","","Never Blocked","",""
"A11DMDES6H8XDK","https://master-requester.mturk.com/workers/A11DMDES6H8XDK","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A11DO40YBZO42R","https://master-requester.mturk.com/workers/A11DO40YBZO42R","4","4","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","","","","","Never Blocked","",""
"A11EF6L798V32H","https://master-requester.mturk.com/workers/A11EF6L798V32H","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","","","","","","","1","","Never Blocked","",""
"A11F2MFEV46T2W","https://master-requester.mturk.com/workers/A11F2MFEV46T2W","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","","","","","","","Never Blocked","",""
"A11G1TGXX3YS24","https://master-requester.mturk.com/workers/A11G1TGXX3YS24","5","5","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","1","","","","Never Blocked","",""
"A11G5CHHV4T1X","https://master-requester.mturk.com/workers/A11G5CHHV4T1X","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","","","","","","","","","Never Blocked","",""
"A11GMTJSTNR0YA","https://master-requester.mturk.com/workers/A11GMTJSTNR0YA","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","Never Blocked","",""
"A11GR3Y2F4LKNR","https://master-requester.mturk.com/workers/A11GR3Y2F4LKNR","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","1","","","","1","","","","Never Blocked","",""
"A11GWWAXRJQ6Y2","https://master-requester.mturk.com/workers/A11GWWAXRJQ6Y2","6","6","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","1","","1","","1","","","","Never Blocked","",""
"A11IEDZJOZ0D9Q","https://master-requester.mturk.com/workers/A11IEDZJOZ0D9Q","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A11IYGHTR4XIGR","https://master-requester.mturk.com/workers/A11IYGHTR4XIGR","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","Never Blocked","",""
"A11JCTPPYRML49","https://master-requester.mturk.com/workers/A11JCTPPYRML49","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A11K4HY613LGHX","https://master-requester.mturk.com/workers/A11K4HY613LGHX","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","","","","","1","","","","Never Blocked","",""
"A11LF1JN8ZKLTZ","https://master-requester.mturk.com/workers/A11LF1JN8ZKLTZ","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","1","","","","1","","","","Never Blocked","",""
"A11LJQ41984DH","https://master-requester.mturk.com/workers/A11LJQ41984DH","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","","","1","","","","Never Blocked","",""
"A11MCPY8W4U6FL","https://master-requester.mturk.com/workers/A11MCPY8W4U6FL","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","","","","","","","Never Blocked","",""
"A11MEDWKY1RKV2","https://master-requester.mturk.com/workers/A11MEDWKY1RKV2","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","","","1","","","","Never Blocked","",""
